date;dur_ttl;dur_outer;l_dur_ttl;l_dur_outer
2016-01-01;509379.59909440024;372562.6971721147;3926.7950058;2064.7549629239998
2016-01-02;204948.34256174328;122518.41306685904;18737.729549420743;8439.31865692049
2016-01-03;468532.0739745882;367733.4914206957;117813.9293193999;77036.4446639899
2016-01-04;930550.5008698051;777043.36237908;22325.1302242244;16945.759773255024
2016-01-05;179810.16612049713;116697.55315775606;1518.8839435577202;1262.28427886914
2016-01-06;380758.26907156577;291479.6111584007;19400.484323506138;10019.261121748421
2016-01-07;196101.89127915958;124850.22139545692;12232.138872157997;1946.2909698526
2016-01-08;290572.9906559205;192162.67991065024;5254.976987839;1822.1242427821603
2016-01-09;3012164.561748775;2463748.2812405727;790383.715868074;521453.6459446463
2016-01-10;3847687.308311471;3248084.290265981;455713.8078212453;293753.4797191416
2016-01-11;3566891.683578518;2929898.204326695;580917.3958301947;397918.4112548594
2016-01-12;833889.1062735616;648635.8177660787;41270.26391028255;28908.346891404784
2016-01-13;365987.4958991289;290362.88809777045;106523.42963215492;57833.91237259131
2016-01-14;3233769.135951832;2569324.881792119;850688.7006760318;580184.2317580904
2016-01-15;3998486.7732522273;3348081.186056072;651506.91890711;439064.3475055717
2016-01-16;4015847.9661940862;3404306.83588995;682006.4187049475;506990.6144142202
2016-01-17;4608075.88410383;3801324.8805999667;1026442.386627234;761471.2221622485
2016-01-18;5021816.278457825;4276993.316411689;580691.9641494495;433849.00188445824
2016-01-19;529092.4699307411;425156.00824357464;6563.9340877514205;4523.195743566171
2016-01-20;201734.8647118049;151766.29900933555;9424.834012989737;7525.745630267563
2016-01-21;4471766.378879387;3728614.723205774;655597.7497100129;440430.27877811936
2016-01-22;4808628.381013778;4100727.5116445166;748968.5754776126;538326.8113136282
2016-01-23;4518537.421942243;3714474.6792314555;966015.2776241405;689783.0352783442
2016-01-24;4195174.923896932;3382564.5184516814;914034.5828533793;657932.3542117624
2016-01-25;3439761.9652749305;2839257.3938370855;627870.508432388;422697.98755650234
2016-01-26;496171.32830629096;358251.13749500364;282726.40514382673;197410.03131862925
2016-01-27;86100.92067718552;46034.21568869424;0.0;0.0
2016-01-28;4412131.907462942;3605287.6689433614;804442.4617291343;522089.5705223145
2016-01-29;5119177.692174972;4245353.908300247;1213681.767225253;878951.039314265
2016-01-30;5947175.758837967;5003385.4551315075;703021.4161872406;519901.06892583444
2016-01-31;5524932.497978735;4716196.754217084;975873.2092381382;731450.1397610113
2016-02-01;4609742.123604388;3895007.460355775;726595.8559513468;518801.1083603126
2016-02-02;125856.15849494742;100229.98690606502;5962.919235227179;5028.5985469840725
2016-02-03;271590.78788767377;197721.98081019547;107103.33919532577;81689.22328949401
2016-02-04;5436399.4927408965;4716173.624038687;761020.5059052065;538177.4554252855
2016-02-05;9039979.969739817;7612287.754297175;896211.3108633886;596820.4801082268
