;dur_ttl;dur_outer;l_dur_ttl;l_dur_outer
0.0.251.33;33.7998867035;27.352094650300003;0.0;0.0
0.104.131.17;42249.979019154984;29285.53509711144;0.0;0.0
0.104.134.113;2.94613838196;0.0;0.0;0.0
0.104.135.9;115.89288711503;103.754043579;0.0;0.0
0.104.138.11;7.375001907350001;0.645160675049;0.0;0.0
0.104.150.58;40210.645675659944;33055.05442618485;0.0;0.0
0.104.153.37;2819.04292107;435.302019119;0.0;0.0
0.104.161.13;2552.1080493941095;2368.293046946709;0.0;0.0
0.104.209.13;9749.614954003559;9274.140357972705;0.0;0.0
0.104.254.113;17526.84783934767;16074.539422982654;0.0;0.0
0.105.167.145;28095.10445596294;25697.735786442277;0.0;0.0
0.105.229.187;460.83283424358;443.8829422;0.0;0.0
0.106.128.246;186935.18185614317;178231.6539287217;0.0;0.0
0.106.131.132;8381.67476653688;7221.616268159753;0.0;0.0
0.106.132.74;114700.67214963307;109816.30730630591;0.0;0.0
0.106.138.100;1409.79409217392;1347.194194796699;0.0;0.0
0.106.141.82;2185.3001117661997;437.6273155210249;2184.57031249557;437.6273155210249
0.106.151.213;14408.53142738601;13196.063041684596;0.0;0.0
0.106.152.71;56328.989982588784;53070.21665573528;0.0;0.0
0.106.169.248;27.7972221375;13.072967529300001;0.0;0.0
0.106.191.152;1408.60605239945;1345.51668167231;0.0;0.0
0.106.191.80;1314.4409656562598;1185.7576370278462;0.0;0.0
0.106.199.12;1382.44104385803;1321.238756181665;0.0;0.0
0.106.213.80;1395.3449726123;1333.989620212388;0.0;0.0
0.106.243.86;296128.29732895864;268177.9201033722;0.0;0.0
0.107.128.2;7770.3330516817505;7376.768112180378;0.0;0.0
0.107.138.69;501.36995315530004;145.0605392456;0.0;0.0
0.107.148.70;45630.34415246711;43518.18132402473;0.0;0.0
0.107.148.73;211254.13036347725;201247.43843078002;0.0;0.0
0.107.153.116;643591.8612480598;593240.136861625;0.0;0.0
0.107.153.217;68635.24603845173;62766.68095588724;0.0;0.0
0.107.154.122;186170.19510270358;178827.87585257407;0.0;0.0
0.107.154.133;245926.68747903325;230698.54187967023;0.0;0.0
0.107.154.208;0.8690357208249999;0.0;0.0;0.0
0.107.154.215;148647.75085449923;137080.49130438498;0.0;0.0
0.107.154.54;46521.9504833214;44324.98002052343;0.0;0.0
0.107.155.193;20254.385471335525;18396.108865734994;0.0;0.0
0.107.155.82;75763.24987409681;72522.26567271956;0.0;0.0
0.107.156.28;87926.04494092417;79715.57903289964;0.0;0.0
0.107.157.250;85626.32751465349;79527.86278725699;0.0;0.0
0.107.166.128;60686.61379815455;57659.425258647985;0.0;0.0
0.107.169.50;1332.40389824201;1213.786840439038;0.0;0.0
0.107.173.111;681.04863166829;629.136800766;0.0;0.0
0.145.170.34;915.8177375793703;454.65922355658;0.0;0.0
0.145.174.125;19935.704946509642;18409.39021109039;0.0;0.0
0.145.174.72;2054.9201965290204;1905.936002734192;0.0;0.0
0.145.206.145;1653.39207648958;1533.249139782793;0.0;0.0
0.145.208.228;542701.0653018143;506681.30946124706;0.0;0.0
0.145.209.180;12452.507495878577;11796.153068547243;0.0;0.0
0.146.134.246;82722.1901416724;72203.00793647469;0.0;0.0
0.146.208.158;30079.75482940735;27353.336334240797;0.0;0.0
0.146.208.183;328754.1184420603;312975.41284597415;0.0;0.0
0.146.208.233;21111.257076260474;19246.239662177813;0.0;0.0
0.146.210.80;76997.25437162734;71534.75022316033;0.0;0.0
0.146.211.7;2815256.1221118425;2389019.206523575;2617180.405139485;2212378.3075806336
0.146.221.100;69.137096405;57.094812393199994;0.0;0.0
0.146.221.106;2214.17284011922;2091.547012329209;0.0;0.0
0.146.221.125;28373.183012016536;27123.54826925673;0.0;0.0
0.146.221.138;3.35121154785;0.515937805176;0.0;0.0
0.146.221.14;72290.27223587573;67358.06894303465;72285.76636314929;67358.06894303465
0.146.221.172;2.8219223022500004;0.0;0.0;0.0
0.146.221.191;21270.499229395195;14402.46605873466;21101.2082099552;14402.46605873466
0.146.221.230;6852.47492789915;6431.07509613;6845.48783302;6431.07509613
0.146.221.254;14459.78736877421;14191.47205352;14455.395221710001;14191.47205352
0.146.221.255;19625.257968902253;19133.5482597272;19618.5297966;19133.5482597272
0.146.221.35;30.1501750946;14.209985733;0.0;0.0
0.146.238.172;326871.18196501;187179.07476421402;0.0;0.0
0.146.75.168;684706.2246790703;610893.3587084287;0.0;0.0
0.147.154.105;72703.35364347133;69189.77093698912;0.0;0.0
0.147.155.33;4.5418739318800005;0.580072402954;0.0;0.0
0.147.158.186;923017.190694472;866990.4518123041;0.0;0.0
0.147.158.187;158423.5994815827;149629.30393218127;0.0;0.0
0.147.80.190;1273.0600833895799;1156.962871548242;0.0;0.0
0.148.132.107;42301.46193504088;39003.77655028856;0.0;0.0
0.148.133.169;1332.8018188523902;1271.694183344932;0.0;0.0
0.148.144.31;105787.9292965142;101973.20866584448;0.0;0.0
0.148.150.16;48400.07948874612;46468.8520431428;0.0;0.0
0.148.151.117;871.4129924782001;837.22782135;0.0;0.0
0.148.154.87;35229.641914367734;22678.361892692737;0.0;0.0
0.148.160.171;42094.40279008902;39719.93041039894;0.0;0.0
0.148.160.209;54541.51892657544;46887.02416417854;0.0;0.0
0.148.160.214;4.640817642209999;0.559091567993;0.0;0.0
0.148.166.172;1496.1159229319198;1374.0243911791542;0.0;0.0
0.148.166.229;12195.231437674689;11356.574535378984;0.0;0.0
0.148.170.31;68730.66878319847;64350.02136230429;0.0;0.0
